Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Alt Text,Type,Group,Background,Lat,Lon,Zoom,Source,Source URL,Shape
1978,,,,,,,,,Social Networks,"From dial-up bulletin boards to the platform giants — and to the states that learned to switch them off. Where social networks rose, were bought, and were banned. A story by MICRI group 1.",,,,,,title,,#333333,,,,,,
1978,,,,,,,,,The Rise of Bulletin Board Systems,"Toward the end of the 1970s, a group of enthusiasts created Bulletin Board Systems (BBS), rudimentary platforms that users could connect to via modem to leave messages, share files, and participate in discussions. The Computer Bulletin Board System (CBBS), developed in 1978 at the University of Chicago, allowed users to store and transmit messages and is considered one of the earliest examples of a social network.",https://upload.wikimedia.org/wikipedia/commons/a/aa/CBBS_Login.svg,,Splashscreen of the CBBS/Chicago (1978),,,,,,41.8781,-87.6298,11,Wikipedia — Bulletin board system,https://en.wikipedia.org/wiki/Bulletin_board_system,
1979,,,,,,,,,Usenet and the First Online Discussions,"Usenet was founded in the United States in 1979 by two students at Duke University. It consists of thousands of interconnected servers, each of which collects articles, news, messages, or posts that people with access to the network submit within a given hierarchy, in a publicly accessible archive. Before the advent of the World Wide Web, it allowed users to communicate with one another through newsletters and discussion groups.",https://commons.wikimedia.org/wiki/Special:FilePath/Slrn.png?width=960,,A 2004 discussion in the Usenet group,,,,,,35.994,-78.8986,11,Wikipedia — Usenet,https://en.wikipedia.org/wiki/Usenet,
1997,1,,,2001,,,,,"SixDegrees, the first true social network","In 1997, SixDegrees.com—the first modern social network—was launched. It allowed users to create a personal profile, add friends, and browse their connections, introducing the key features of today’s social networks.",https://upload.wikimedia.org/wikipedia/commons/1/11/SixDegrees.com_logo.png,,"Andrew Weinreich, founder of SixDegrees",,,,,,40.7128,-74.006,11,Wikipedia — SixDegrees.com,https://en.wikipedia.org/wiki/SixDegrees.com,
2003,5,5,,,,,,,From Resume to Network: The Beginnings of LinkedIn,LinkedIn was founded in California with the goal of transforming professional relationships into a digital network. It quickly became an essential tool for networking and job searching.,https://commons.wikimedia.org/wiki/Special:FilePath/LinkedIn_Headquarters_Mountain_View.jpg?width=960,,"Former LinkedIn headquarters in Stierlin Court in Mountain View, California",,,,,,37.3894,-122.0819,12,Wikipedia — LinkedIn,https://en.wikipedia.org/wiki/LinkedIn,
2004,2,4,,,,,,,Facebook: From Harvard Dorms to Worldwide Phenomenon,"TheFacebook is launched by Mark Zuckerberg and other Harvard students. Initially reserved for the university's students, it expands rapidly to become the most widely used social network in the world.",https://commons.wikimedia.org/wiki/Special:FilePath/MarkZuckerberg.jpg?width=960,,"Mark Zuckerberg, Founder of Facebook",,,,,,42.377,-71.1167,12,Wikipedia — Facebook,https://en.wikipedia.org/wiki/Facebook,
2005,2,14,,,,,,,The Idea of Three Guys That Changed the Internet,"YouTube is born as a project by three former PayPal employees: Chad Hurley, Steve Chen, and Jawed Karim. After abandoning the initial idea of a dating site, it becomes the world's leading platform for video sharing.",https://commons.wikimedia.org/wiki/Special:FilePath/Youtube_founders.jpg?width=960,,"From left to right: Chad Hurley, Steve Chen, and Jawed Karim, the founders of YouTube",,,,,,37.563,-122.3255,11,Wikipedia — YouTube,https://en.wikipedia.org/wiki/YouTube,
2006,3,21,,,,,,,Twitter and the Microblogging Revolution,"Jack Dorsey publishes the first tweet in history. Twitter introduces microblogging, hashtags, and retweets, becoming one of the main tools for the spread of news in real time.",https://cdn.jsdelivr.net/gh/homarr-labs/dashboard-icons/png/twitter.png,,"The Twitter logo, which derives from the English verb ""to tweet,"" meaning to chirp",,,,,,37.7749,-122.4194,12,Wikipedia — X (social network),https://en.wikipedia.org/wiki/X_(social_network),
2009,6,,,,,,,,Iran Shuts Down the Net,"During the protests following the presidential elections, the Iranian government blocks Facebook, Twitter, and other online services to limit the spread of information. This is one of the first major cases of systematic censorship of social networks.",https://images.unsplash.com/photo-1663669959185-57940d6bb6a3?q=80&w=327&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,,The internet opens a window to the world,,,,,,35.6892,51.389,10,Wikipedia — 2009 Iranian presidential election,https://en.wikipedia.org/wiki/2009_Iranian_presidential_election,
2010,3,,,,,,,,The Birth of Pinterest: The Social Network That Transformed Ideas into Images,"Pinterest is launched by Ben Silbermann, Paul Sciarra, and Evan Sharp as a platform to collect and organize inspirational images through digital boards.",https://images.pexels.com/photos/29627080/pexels-photo-29627080.jpeg,,Pinterest: Inspiration Becomes Shareable,,,,,,37.7757,-122.3987,12,Wikipedia — Pinterest,https://en.wikipedia.org/wiki/Pinterest,
2010,10,,,2011,,,,,Social Networks as Drivers of Revolution,"Instagram is born as a platform dedicated to photography. During the same period, Facebook and Twitter take on a central role during the Arab Spring, facilitating the organization, communication, and spread of the protests.",https://cdn-magazine.startupitalia.eu/wp-content/uploads/2024/01/31193144/primavere-arabe.jpg?_gl=1*16zt2pa*_ga*MTczNDgwMjI2OS4xNzgzMDcxMzYx*_ga_9HD1K76044*czE3ODMwNzM1ODYkbzIkZzEkdDE3ODMwNzM1ODYkajYwJGwwJGgw*_ga_HB6Q3MDD9G*czE3ODMwNzM1ODYkbzIkZzAkdDE3ODMwNzM1ODYkajYwJGwwJGgw*_ga_7JK4QMB9BT*czE3ODMwNzM1ODYkbzIkZzAkdDE3ODMwNzM1ODYkajYwJGwwJGgw,,From hashtags to the streets: social media fueled the Arab Spring.,,,,,,30.0444,31.2357,10,Wikipedia — Social media's role in the Arab Spring,https://en.wikipedia.org/wiki/Social_media%27s_role_in_the_Arab_Spring,
2011,6,28,,2019,,,,,Google+: The Elegant Idea That Challenged Facebook,"Google launches Google+ with the goal of competing with Facebook by introducing ""Circles"" to manage social relationships. Despite significant initial interest, the platform fails to build an active community and will close in 2019.",https://live.staticflickr.com/6121/5920040910_242ec1dd3c_b.jpg,,,,,,,,37.422,-122.0841,12,Wikipedia — Google+,https://en.wikipedia.org/wiki/Google%2B,
2016,9,20,,,,,,,TikTok and the Short-Video Boom,"ByteDance launches Douyin, the Chinese version of TikTok, ushering in a new generation of social media based on short videos and recommendation algorithms.",https://www.gadgetguy.com.au/wp-content/uploads/2022/05/Youtube-shorts.jpg,,"Douyin ushered in short-video, algorithm-driven social media platforms.",,,,,,39.9042,116.4074,10,Wikipedia — ByteDance,https://en.wikipedia.org/wiki/ByteDance,
2017,9,26,,,,,,,Goodbye WhatsApp in China: The Great Firewall Grows Even Stronger,"The Chinese government progressively makes WhatsApp unusable, strengthening the Great Firewall and favoring domestic platforms like WeChat.",https://images.ndla.no/tb4493d4.jpg,,WeChat logo,,,,,,39.9042,116.4074,10,Wikipedia — WhatsApp,https://en.wikipedia.org/wiki/WhatsApp,
2017,11,9,,,,,,,ByteDance Acquires Musical.ly: TikTok Is Born,"ByteDance acquires Musical.ly and integrates it into TikTok, giving rise to the platform that would conquer the global short-video market.",https://upload.wikimedia.org/wikipedia/commons/2/20/TikTok_app.jpg,,TikTok app,,,,,,31.2304,121.4737,11,Wikipedia — ByteDance,https://en.wikipedia.org/wiki/ByteDance,
2018,3,,,2026,09,,,,The Cambridge Analytica Scandal: When Your Data Becomes a Political Weapon,"The Cambridge Analytica scandal reveals the improper use of data from millions of Facebook users for political microtargeting campaigns, sparking a massive debate on digital privacy.",https://upload.wikimedia.org/wikipedia/commons/9/97/Web_Summit_2017_-_Centre_Stage_Day_3_SAM_7454_%2824415941378%29.jpg,,"Alexander Nix, CEO of Cambridge Analytica, protagonist of the third day of the 2017 Web Summit",,,,,,51.5074,-0.1278,11,Wikipedia — Scandalo Facebook-Cambridge Analytica,https://it.wikipedia.org/wiki/Scandalo_Facebook-Cambridge_Analytica,
2020,,,,,,,,,2020: The Year That Forever Transformed Our Relationship with the Digital World,"During the COVID-19 pandemic, social networks experienced a historic surge in usage. They became essential tools for communication, studying, working, and staying informed, but the problem of misinformation also grew.",,,Map of the spread of COVID-19,,,,,,30.5928,114.3055,9,Nature Scientific Reports (2020),https://www.nature.com/articles/s41598-020-73510-5,
2021,2,4,,,,,,,Myanmar: The Facebook Block Signals the Military Regime's Crackdown,"Following the coup, the military junta blocks Facebook to hinder the coordination of protests and limit the spread of information.",https://images.pexels.com/photos/7106665/pexels-photo-7106665.jpeg,,Myanmar’s struggle becomes a global call for freedom,,,,,,16.8409,96.1735,10,Amnesty International (2022),https://www.amnesty.org/en/latest/news/2022/09/myanmar-facebooks-systems-promoted-violence-against-rohingya-meta-owes-reparations-new-report/,
2021,10,28,,,,,,,The Facebook Group Changes Its Name and Becomes Meta,"Facebook Inc. changes its name to Meta, announcing a strategy oriented towards the development of the metaverse and immersive digital experiences.",https://images.unsplash.com/photo-1694903062502-6df8204136af?q=80&w=1054&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,,From a social network to a parallel reality,,,,,,37.453,-122.1817,12,Meta Newsroom (2021),https://about.fb.com/news/2021/10/facebook-company-is-now-meta/,
2022,2,24,,,,,,,Russia Blocks Facebook and Instagram After the Invasion of Ukraine,"Following the invasion of Ukraine, Russia has blocked Facebook and Instagram, accusing Meta of extremism and seeking to control the narrative of the conflict. ",https://www.repstatic.it/content/contenthub/img/2022/03/04/211040694-b3b66e0b-e73e-4e38-bef4-f23c15a793b7.jpg?webp,,,,,,,,55.7558,37.6173,10,Wikipedia — Internet censorship in Russia,https://en.wikipedia.org/wiki/Internet_censorship_in_Russia,
2022,10,27,,,,,,,Twitter Goes to Elon Musk,"With a lightning-fast tweet reading “The bird is freed,” Elon Musk formalized the purchase of Twitter for $44 billion.
While the American and European far right rejoiced at the change in course and free speech advocates celebrated the event, critics immediately raised concerns: according to many analysts, loosening the reins of control risked opening the floodgates to an uncontrollable wave of political disinformation and fake news.",https://www.slideegg.com/image/catalog/200413-elon-musk-changes-twitter-logo-to-x.png,,Elon Musk's Twitter account,,,,,,37.7749,-122.4194,12,Wikipedia — X (social network),https://en.wikipedia.org/wiki/X_(social_network),
