Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Alt Text,Type,Group,Background,Lat,Lon,Zoom,Source,Source URL,Shape
1958,,,,,,,,,The Internet,"From a Cold War research agency to the network beneath every network: how the Internet's pipes were laid, standardized, attacked and secured. A story by MICRI group 3.",,,,,,title,,#333333,,,,,,
1958,2,7,,,,,,,Creation of ARPA and ARPANET,The US Department of Defense establishes ARPA (Advanced Research Projects Agency) to develop advanced technologies for defense and scientific research. This is the starting point of the project that will lead to the Internet.,,,,,,,,,38.8719,-77.0563,10,Geopop — Storia della nascita di Internet,https://www.geopop.it/storia-della-nascita-di-internet-come-lo-usiamo-oggi-e-come-funziona-il-world-wide-web/,
1969,10,29,,,,,,,First message sent over ARPANET,"The first data exchange in network history takes place between UCLA and the Stanford Research Institute (SRI). The message was meant to read LOGIN, but the system crashed after LO.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Interface_Message_Processor_Front_Panel.jpg/960px-Interface_Message_Processor_Front_Panel.jpg,Steve Jurvetson / Wikimedia Commons (CC BY-SA 3.0),The IMP that connected the first ARPANET nodes,,Front panel of a 1969 ARPANET Interface Message Processor,,,,34.0689,-118.4452,11,Focus — 50 anni fa il primo messaggio su ARPANET,https://www.focus.it/tecnologia/29-ottobre-1969-internet-day-50-anni-fa-primo-messaggio-su-arpanet,
1974,5,,,,,,,,Development of Transmission Control Protocol,"Vinton Cerf and Robert Kahn develop TCP, allowing data to be split into packets and reassembled correctly at their destination - a key foundation of modern Internet communication.",,,,,,,,,37.4275,-122.1697,11,Internet Society — Brief History of the Internet,https://www.internetsociety.org/internet/history-internet/brief-history-internet/,
1983,1,1,,,,,,,Birth of modern Internet,"On a single coordinated cutover day, ARPANET switches from the old NCP protocol to TCP/IP, standardizing communication between networks. This event is widely considered the birth of the modern Internet.",,,,,,,,,38.8790,-77.1068,10,Wikipedia (it) — Storia di Internet,https://it.wikipedia.org/wiki/Storia_di_Internet,
1985,1,1,,,,,,,Introduction of domain names,"The first top-level domains are introduced - .com, .org, .net, .edu, .gov - making the Internet more structured and accessible.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Jon_Postel.jpg/960px-Jon_Postel.jpg,"Irene Fertik, USC News Service / Wikimedia Commons","Jon Postel, who administered the early domain name system",,Portrait of Jon Postel,,,,33.9803,-118.4517,11,Internet Society — Brief History of the Internet,https://www.internetsociety.org/internet/history-internet/brief-history-internet/,
1988,11,2,,,,,,,The Morris Worm and the first large-scale cyberattack,"Robert Tappan Morris releases the first large-scale cyberattack in Internet history. The Morris Worm infects and paralyzes roughly 10% of the computers connected to ARPANET, marking the first major cybersecurity event of the modern era.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Morris_Worm.jpg/960px-Morris_Worm.jpg,Wikimedia Commons (CC BY-SA 2.0),"The Morris Worm source code on a 3.5"" floppy disk, Computer History Museum",,Floppy disk containing the original Morris Worm source code on display at a museum,,,,42.3601,-71.0942,11,Geopop — La storia dell'attacco Morris Worm,https://www.geopop.it/la-storia-dellattacco-morris-worm-come-successo-e-quali-danni-provoco-ai-pc-connessi-a-internet/,
1988,12,14,,,,,,,TAT-8: the first transatlantic fiber-optic cable,"TAT-8 enters service, marking the shift from the telephone era to the modern Internet era: electrical signals are replaced with pulses of light, dramatically increasing the amount of data that can be transferred across the Atlantic.",,,,,,,,,50.7906,-4.5646,9,Britannica — Undersea cable,https://www.britannica.com/technology/undersea-cable?utm_source=chatgpt.com,
1989,3,12,,,,,,,Invention of the World Wide Web,"At CERN, Tim Berners-Lee submits Information Management: A Proposal, laying out the system of web pages and hyperlinks that will become the World Wide Web.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/First_Web_Server.jpg/960px-First_Web_Server.jpg,CERN / Wikimedia Commons (CC BY-SA 3.0),The NeXT computer used as the first web server at CERN,,The original NeXT workstation used to create the World Wide Web,,,,46.2330,6.0557,12,Fondazione Leonardo — La storia scorre sotto il mare (cavi sottomarini),https://www.fondazioneleonardo.com/stories/storia-scorre-sotto-mare-cavi-sottomarini,
1991,8,6,,,,,,,The Web becomes public,"Tim Berners-Lee announces the World Wide Web software on Internet newsgroups, making it available outside CERN for the first time and marking the beginning of its global expansion.",,,,,,,,,46.2330,6.0557,12,Computer History Museum — Internet History,https://www.computerhistory.org/internethistory/,
1994,,,,,,,,,Introduction of HTTPS,"Netscape develops SSL, the encryption protocol that will secure online communication and become essential for safe browsing and online transactions - the foundation of HTTPS.",,,,,,,,,37.3894,-122.0819,12,MDN — Evolution of HTTP,https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/Evolution_of_HTTP/,
2016,10,21,,,,,,,"The Mirai/Dyn attack: when a botnet ""switched off"" half the Internet","A botnet of compromised IoT devices (cameras, home routers) overwhelms Dyn, a DNS provider, making sites like Twitter, Amazon, Netflix and PayPal unreachable. Unlike the Morris Worm, this attack exploits DNS infrastructure - the Internet's address book - showing how much the network depends on a handful of critical chokepoints.",,,,,,,,,42.9956,-71.4548,11,The Guardian — DDoS attack on Dyn,https://www.theguardian.com/technology/2016/oct/26/ddos-attack-dyn-mirai-botnet,
2019,4,3,,,,,,,Introduction of 5G networks,"South Korea's SK Telecom, KT and LG U+ simultaneously switch on the world's first nationwide commercial 5G network, offering higher speeds, lower latency and support for massive numbers of connected devices. Source: ourworldindata.org",,,,,,,,,37.5665,126.9780,10,Our World in Data,https://ourworldindata.org/,
