Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Alt Text,Type,Group,Background,Lat,Lon,Zoom,Source,Source URL,Shape
1973,,,,,,,,,The Smartphone,"From the first handheld call to the chip war: the smartphone as a geopolitical object — cobalt from Congo, assembly across Asia, and a fight over who controls the stack. A story by MICRI group 5.",,,,,,title,,#333333,,,,,,
1973,4,3,,1973,4,3,,,The Birth of Mobile Communication,"Martin Cooper of Motorola made the world's first handheld cellular phone call. This breakthrough positioned the United States as the pioneer of mobile telecommunications during the Cold War and marked the beginning of a technological race that would later become a key component of economic and strategic power.
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/2007Computex_e21Forum-MartinCooper.jpg/1920px-2007Computex_e21Forum-MartinCooper.jpg?utm_source=it.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Wikipedia,"Martin Cooper, on April 3, 1973, during the first mobile phone call.",,Martin Cooper holding the first handheld mobile phone,,,,40.7617,-73.9782,12,"Burchett, M. H. (2021). First cellular phone call. EBSCO Research Starters. ",https://www.ebsco.com/research-starters/history/first-cellular-phone-call,
1994,8,16,,1995,2,,,,Commercial Launch of IBM Simon,"The first commercially available smartphone introduced touchscreen technology, email, and digital productivity tools. Although commercially limited, it demonstrated the growing importance of software and digital services as strategic assets in technological development.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/IBM_Simon_Personal_Communicator_%281993%29_-_the_first_smartphone_-_Computer_History_Museum.jpg/960px-IBM_Simon_Personal_Communicator_%281993%29_-_the_first_smartphone_-_Computer_History_Museum.jpg,Wikimedia,"Pictured in its charging base, the IBM Simon Personal Communicator is widely considered to be the world's first smartphone.",,,,,,42.1031,-76.0547,11,Mobile Phone Museum. (n.d.). IBM Simon.,https://www.mobilephonemuseum.com/phone-detail/ibm-simon,
1998,9,1,,2012,4,,,,Europe Takes the Lead in Mobile Technology,"Nokia became the world's leading mobile phone manufacturer, overtaking Motorola and capturing 22.9% of the global mobile phone market. Its success demonstrated that innovation in telecommunications was not exclusively American and highlighted the strategic importance of mobile infrastructure in the emerging digital economy.",https://ritholtz.com/wp-content/uploads/2022/10/a90584f7cda8bc0cb11ddf74b6269e43.jpg,Wikipedia,A classic Nokia handset from the era when the Finnish company overtook Motorola to become the world's leading mobile phone manufacturer. 1998,,,,,,60.2055,24.6559,11,Nokia Corporation. (1999). Nokia Business Review 1998. Nokia Corporation. ,https://web.lib.aalto.fi/fi/old/yrityspalvelin/pdf/1998/enokia.pdf,
2000,,,,2022,1,4,,,The Smartphone Enters Government and Business,"BlackBerry revolutionized mobile communication through secure email services. Its devices became standard tools for governments, diplomats, military officials, and multinational corporations, emphasizing the growing link between communication technologies, cybersecurity, and national security.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Collection_of_old_phones_and_PDA-BlackBerry.jpg/500px-Collection_of_old_phones_and_PDA-BlackBerry.jpg,Wikimedia,The vintage BlackBerry 850 device on display in a museum.,,,,,,43.4667,-80.5167,11,"Radov, M. (2019). The rise and fall of Research in Motion. Ivey Business School. ",https://www.researchgate.net/publication/337171848_The_rise_and_fall_of_Research_in_Motion,
2002,10,22,,,,,,,Taiwan Joins the Global Tech Race,"HTC's growth reflected Taiwan's emergence as a critical player in global electronics manufacturing. This period marked the beginning of Taiwan's central role in the smartphone supply chain, which would later become strategically important through semiconductor production.",,,,,,,,,24.9937,121.3010,11,"Wikipedia contributors. (n.d.). HTC. In Wikipedia, The Free Encyclopedia.",https://en.wikipedia.org/wiki/HTC,
2000,,,,,,,,,The Hidden Cost of Smartphone Batteries,"The rapid expansion of smartphones increased demand for lithium-ion batteries, making cobalt a critical resource. The Democratic Republic of the Congo supplies most of the world's cobalt, exposing global manufacturers to geopolitical risks, governance challenges, and concerns regarding labor exploitation and human rights.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Child_labor%2C_Artisan_Mining_in_Kailo_Congo.jpg/1280px-Child_labor%2C_Artisan_Mining_in_Kailo_Congo.jpg,Wikimedia Commons,"Artisanal mine in Kailo, Congo - Image released under Creative Commons license",,,,,,-10.7167,25.4667,9,"Gulley, A. L. (2022). One hundred years of cobalt production in the Democratic Republic of the Congo. Resources Policy, 79, 103007.",https://doi.org/10.1016/j.resourpol.2022.103007,
2000,,,,,,,,,China's Grip on Critical Minerals,"China established a dominant position in the extraction and processing of rare earth elements essential for smartphones, batteries, and electronics. This control provided Beijing with significant strategic leverage over global technology industries and highlighted the geopolitical importance of critical raw materials.",,,,,,,,,40.6571,109.8403,9,International Energy Agency. (2026). Rare Earth Elements. Paris: IEA.,https://www.iea.org/reports/rare-earth-elements/executive-summary,
2007,1,9,,2008,7,11,,,The iPhone Revolution,"Steve Jobs introduced the iPhone, transforming smartphones into multifunctional digital platforms. The device re-established U.S. technological leadership and accelerated the rise of platform-based ecosystems, giving American companies unprecedented influence over global communication, commerce, and data flows",https://upload.wikimedia.org/wikipedia/commons/c/c2/Steve_Jobs_presents_iPhone.jpg,Wikimedia Commons,"Steve Jobs introduces the first iphone on stage, 2007.",,,,,,37.7841,-122.4013,11,Apple Newsroom — iPhone at Ten (2017),https://www.apple.com/newsroom/2017/01/iphone-at-ten-the-revolution-continues/,
2008,9,23,,,,,,,The Rise of the Open Smartphone Ecosystem,"Google's Android operating system created an open mobile ecosystem adopted by manufacturers worldwide. While reinforcing U.S. dominance in software and digital services, it also enabled the rapid expansion of Asian hardware producers, contributing to a more interconnected global technology industry.",,,,,,,,,37.4220,-122.0841,12,Google Press Release (2007),https://googlepress.blogspot.com/2007/11/industry-leaders-announce-open-platform.html,
2010,9,7,,2010,11,1,,,Rare Earth Crisis,"During a territorial dispute, China temporarily restricted rare earth exports to Japan. The incident demonstrated how control over critical resources could be used as a geopolitical tool and prompted many countries to reconsider their dependence on Chinese supply chains.",,,,,,,,,25.7455,123.4735,8,OECD. (2024). Trade impacts of economic coercion (OECD Trade Policy Papers No. 281). OECD Publishing.,https://doi.org/10.1787/d4ab39b9-en,
