Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Alt Text,Type,Group,Background,Lat,Lon,Zoom,Source,Source URL,Shape
1989,,,,,,,,,The World Wide Web,"From an open dream at CERN to a handful of platforms — and a fight over who governs it. This story follows where the Web spread, and the people and places the official version skips.",,,,,,title,,#333333,,,,,,
1989,3,,,1993,4,30,,,The Open Dream: A Proposal at CERN,"In March 1989 Tim Berners-Lee proposed a hypertext system for CERN; by Christmas 1990 the first website was running on his NeXT computer, and on 30 April 1993 CERN placed the Web's software in the public domain — free for everyone, forever.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/First_Web_Server.jpg/960px-First_Web_Server.jpg,CERN / Wikimedia Commons (CC BY-SA 3.0),"The NeXT computer Tim Berners-Lee used at CERN — the world's first web server.",,"A black NeXT cube computer with a handwritten sticker warning not to power it down",,,,46.2330,6.0557,12,CERN — The birth of the Web,https://home.cern/science/computing/birth-web,
1993,1,,,1994,12,,,,Mosaic Makes the Web Visual,"Released at the University of Illinois' NCSA in 1993, Mosaic put images beside text behind a friendly point-and-click interface — the browser that carried the Web out of the physics labs and into living rooms.",,,,,,,,,40.1092,-88.2272,12,NCSA — Mosaic project,https://www.ncsa.illinois.edu/research/project-highlights/ncsa-mosaic/,
1994,10,,,,,,,,Who Governs the Standards? W3C Founded,"Tim Berners-Lee left CERN to found the World Wide Web Consortium at MIT, an international body to keep the Web's core standards open — the first institutional answer to who governs the Web.",,,,,,,,,42.3601,-71.0942,12,W3C — History,https://www.w3.org/about/history/,
1995,8,9,,,,,,,The Netscape IPO Starts the Gold Rush,"Shares of Netscape, a browser company that had never turned a profit, doubled on their first day of trading — the moment the open Web became a market and the dot-com boom began.",,,,,,,,,37.3894,-122.0819,12,Computer History Museum — Timeline: 1995,https://www.computerhistory.org/timeline/1995/,
1995,,,,2026,,,,1995 – today,Where the Web Physically Lives: DE-CIX,"The 'cloud' hangs from cables: DE-CIX in Frankfurt, founded in 1995, became one of the world's largest internet exchange points — the Web's traffic runs through a few very physical, very located buildings.",,,,,,,,,50.1109,8.6821,11,DE-CIX — About,https://www.de-cix.net/en/about-de-cix,
1998,9,4,,,,,,,Search Becomes the Front Door,"Google incorporated in a Menlo Park garage; as search became how most people find the Web, one company's ranking algorithm quietly became the index of everything.",,,,,,,,,37.4530,-122.1817,12,Google — Our story,https://about.google/our-story/,
2004,2,4,,,,,,,The Platform Era Begins,"'Thefacebook' opened to Harvard students in February 2004; within two decades a handful of platforms, not the open web of pages, would hold most attention, advertising and public debate.",,,,,,,,,42.3770,-71.1167,12,The Harvard Crimson — 9 February 2004,https://www.thecrimson.com/article/2004/2/9/hundreds-register-for-new-facebook-website/,
2010,,,,2026,,,,2010 – today,The Invisible Cleaners of the Web,"Every feed is kept 'clean' by people: tens of thousands of commercial content moderators, many of them in Manila, view and delete the Web's most disturbing material so that users never see it — labour the platform story skips.",,,,,,,,,14.5995,120.9842,11,"Sarah T. Roberts, Behind the Screen (Yale University Press, 2019)",https://yalebooks.yale.edu/book/9780300261479/behind-the-screen/,
2016,4,27,,2018,5,25,,,The Fight Over Governance: GDPR,"Adopted in 2016 and enforced from May 2018, the EU's General Data Protection Regulation was the first sweeping attempt to regulate what platforms do with personal data — the fight over the Web's rules moved from standards bodies to parliaments.",,,,,,,,,50.8467,4.3525,11,Regulation (EU) 2016/679 — EUR-Lex,https://eur-lex.europa.eu/eli/reg/2016/679/oj,
